Date,Pressure,Temperature,Tpot (K),Tdew (degC),Humidity,VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Anomaly
2010-07-03 16:50:00,988.82,30.86,305.0,13.66,35.08,44.63,15.66,28.97,9.91,15.83,1126.25,4.04,7.16,53.72,True
2010-07-03 17:00:00,988.72,30.88,305.03,13.37,34.39,44.68,15.37,29.32,9.72,15.54,1126.19,4.65,6.76,35.34,True
2010-07-03 17:10:00,988.72,30.69,304.84,13.38,34.79,44.2,15.38,28.82,9.73,15.55,1126.89,4.44,6.96,46.52,True
2010-07-03 17:20:00,988.77,30.84,304.98,13.68,35.18,44.58,15.68,28.9,9.93,15.86,1126.26,3.69,5.52,72.4,True
2010-07-03 17:30:00,988.72,30.8,304.95,13.75,35.42,44.48,15.75,28.72,9.97,15.93,1126.32,3.02,5.4,60.26,True
2010-07-03 17:40:00,988.62,30.87,305.03,13.83,35.46,44.66,15.83,28.82,10.02,16.02,1125.91,3.38,5.64,61.42,True
2010-07-03 17:50:00,988.59,30.38,304.54,13.38,35.41,43.42,15.38,28.05,9.73,15.55,1127.89,4.24,6.08,65.67,True
2010-07-03 18:00:00,988.59,30.17,304.33,13.35,35.76,42.91,15.34,27.56,9.71,15.52,1128.69,3.5,5.76,65.5,True
2010-07-03 18:10:00,988.67,30.16,304.31,13.26,35.58,42.88,15.26,27.62,9.66,15.43,1128.85,3.34,5.24,58.4,True
2010-07-03 18:20:00,988.75,30.08,304.22,13.34,35.93,42.69,15.34,27.35,9.71,15.51,1129.21,3.4,5.48,61.06,True
2010-07-03 18:30:00,988.91,29.92,304.05,13.32,36.2,42.3,15.31,26.99,9.69,15.48,1130.0,3.5,5.28,64.52,True
2010-07-03 18:40:00,989.09,29.7,303.81,13.25,36.51,41.77,15.25,26.52,9.65,15.42,1131.06,3.16,4.88,64.91,True
2010-07-03 18:50:00,989.11,29.63,303.74,13.28,36.71,41.6,15.27,26.33,9.66,15.44,1131.33,2.59,3.68,59.55,True
2010-07-03 19:00:00,989.11,29.54,303.65,13.35,37.09,41.38,15.35,26.03,9.71,15.52,1131.63,2.04,3.12,54.4,True
2010-07-03 19:10:00,989.11,29.25,303.36,13.46,37.97,40.7,15.45,25.24,9.78,15.62,1132.67,1.71,2.72,59.78,True
2010-07-03 19:20:00,989.11,28.83,302.94,13.62,39.31,39.72,15.62,24.11,9.88,15.79,1134.18,1.39,2.64,51.51,True
2010-07-03 19:30:00,989.08,28.56,302.67,13.55,39.76,39.11,15.55,23.56,9.84,15.72,1135.19,2.36,3.16,49.39,True
2010-07-03 19:40:00,989.11,28.36,302.47,13.7,40.62,38.66,15.7,22.95,9.93,15.87,1135.91,2.01,2.56,47.66,True
2010-07-03 19:50:00,989.23,28.19,302.28,13.78,41.24,38.28,15.79,22.49,9.99,15.96,1136.65,1.66,2.48,53.54,True
2010-07-03 20:00:00,989.23,27.99,302.08,13.93,42.11,37.83,15.93,21.9,10.08,16.11,1137.34,1.32,2.12,59.02,True
2010-07-03 20:10:00,989.33,27.66,301.74,13.92,42.91,37.11,15.93,21.19,10.07,16.1,1138.71,1.39,2.12,65.47,True
2010-07-03 20:20:00,989.36,27.42,301.5,13.75,43.05,36.6,15.75,20.84,9.96,15.92,1139.73,1.48,2.76,78.7,True
2010-07-03 20:30:00,989.46,27.06,301.13,13.8,44.11,35.83,15.81,20.03,10.0,15.97,1141.19,0.73,1.24,37.42,True
2010-07-03 20:40:00,989.65,26.68,300.73,13.73,44.89,35.04,15.73,19.31,9.95,15.9,1142.89,0.3,0.84,315.3,True
2010-07-03 20:50:00,989.72,26.31,300.36,13.55,45.34,34.29,15.55,18.74,9.83,15.71,1144.46,0.36,0.8,299.6,True
2010-07-04 15:20:00,990.89,26.54,300.49,18.13,59.98,34.76,20.85,13.91,13.19,21.04,1142.61,2.96,6.16,19.42,True
2010-07-04 15:30:00,990.84,26.44,300.39,17.97,59.73,34.55,20.64,13.91,13.06,20.83,1143.03,1.93,4.68,338.9,True
2010-07-04 15:40:00,990.64,26.76,300.73,18.15,59.28,35.21,20.87,14.34,13.21,21.07,1141.47,2.29,4.48,18.14,True
2010-07-04 15:50:00,990.53,27.1,301.08,18.33,58.76,35.92,21.11,14.81,13.36,21.31,1139.95,2.25,4.18,12.64,True
2010-07-04 16:00:00,990.59,27.14,301.11,18.48,59.17,36.0,21.3,14.7,13.49,21.5,1139.78,2.11,4.32,359.5,True
2010-07-04 16:10:00,990.6,26.87,300.84,18.5,60.21,35.44,21.34,14.1,13.51,21.54,1140.8,2.45,5.64,11.3,True
2010-07-04 16:20:00,990.51,26.48,300.46,18.52,61.67,34.63,21.36,13.27,13.52,21.56,1142.18,2.46,4.84,24.93,True
2010-07-04 16:30:00,990.3,26.43,300.43,18.5,61.79,34.53,21.34,13.19,13.51,21.55,1142.13,1.92,3.52,11.34,True
2010-07-04 16:40:00,990.17,26.93,300.94,18.77,61.01,35.56,21.7,13.87,13.74,21.91,1139.92,1.72,3.04,13.51,True
2010-07-04 16:50:00,990.01,26.91,300.93,18.82,61.27,35.52,21.76,13.76,13.79,21.98,1139.78,2.5,4.12,33.56,True
2010-07-04 17:00:00,990.05,26.6,300.62,18.79,62.28,34.88,21.72,13.16,13.76,21.94,1141.02,3.09,5.56,29.39,True
2010-07-04 17:10:00,990.09,26.37,300.38,18.77,63.06,34.41,21.7,12.71,13.75,21.92,1141.96,3.04,5.56,40.34,True
2010-07-05 11:30:00,990.88,26.5,300.45,16.19,53.16,34.67,18.43,16.24,11.65,18.6,1143.82,2.36,3.8,91.1,True
2010-07-05 13:30:00,989.62,26.68,300.74,15.11,49.09,35.04,17.2,17.84,10.88,17.38,1142.21,1.06,2.6,193.3,True
2010-07-05 13:40:00,989.59,27.62,301.68,14.92,45.9,37.03,17.0,20.03,10.75,17.17,1138.69,2.15,3.6,199.3,True
2010-07-05 13:50:00,989.46,27.0,301.07,14.71,46.94,35.71,16.76,18.95,10.6,16.94,1141.0,2.9,4.72,236.7,True
2010-07-05 14:00:00,989.41,26.39,300.46,14.86,49.12,34.45,16.92,17.53,10.71,17.1,1143.19,2.4,3.96,256.1,True
2010-07-08 12:10:00,994.39,26.32,299.96,10.43,36.87,34.31,12.65,21.66,7.95,12.72,1151.13,1.62,3.96,204.1,True
2010-07-08 12:20:00,994.38,26.62,300.26,10.57,36.58,34.92,12.77,22.15,8.03,12.85,1149.91,2.15,4.92,132.2,True
2010-07-08 12:30:00,994.41,26.35,299.99,10.29,36.46,34.37,12.53,21.84,7.88,12.6,1151.09,2.35,4.36,134.6,True
2010-07-08 12:40:00,994.35,26.52,300.17,10.29,36.1,34.71,12.53,22.18,7.88,12.6,1150.37,1.54,3.64,45.0,True
2010-07-08 13:10:00,994.13,26.48,300.14,10.48,36.66,34.63,12.7,21.94,7.98,12.77,1150.19,1.98,3.12,90.5,True
2010-07-08 13:20:00,994.08,26.48,300.15,10.4,36.45,34.63,12.62,22.01,7.94,12.7,1150.16,2.79,3.98,78.5,True
2010-07-08 13:30:00,993.92,26.4,300.08,10.38,36.58,34.47,12.61,21.86,7.93,12.69,1150.3,2.6,3.72,49.7,True
2010-07-08 13:40:00,993.82,26.51,300.2,10.53,36.71,34.69,12.74,21.96,8.01,12.82,1149.7,2.6,3.74,56.73,True
2010-07-08 13:50:00,993.68,26.77,300.47,10.67,36.5,35.23,12.86,22.37,8.09,12.94,1148.48,2.48,4.56,45.43,True
2010-07-08 14:00:00,993.65,26.81,300.52,10.72,36.53,35.31,12.9,22.41,8.11,12.98,1148.28,2.95,4.32,55.1,True
2010-07-08 14:10:00,993.65,26.96,300.67,10.75,36.29,35.62,12.93,22.7,8.13,13.01,1147.69,2.18,4.12,36.0,True
2010-07-08 14:20:00,993.65,27.33,301.04,10.9,35.87,36.4,13.06,23.35,8.22,13.14,1146.22,1.9,3.2,91.1,True
2010-07-08 14:30:00,993.53,27.37,301.09,10.84,35.64,36.49,13.0,23.48,8.18,13.09,1145.95,1.98,3.32,67.13,True
2010-07-08 14:40:00,993.44,27.3,301.03,10.71,35.48,36.34,12.89,23.45,8.11,12.98,1146.16,2.57,4.4,71.7,True
2010-07-08 14:50:00,993.34,27.29,301.03,10.78,35.66,36.32,12.95,23.37,8.15,13.04,1146.06,2.71,4.16,22.32,True
2010-07-08 15:00:00,993.28,27.43,301.17,10.81,35.45,36.62,12.98,23.64,8.17,13.07,1145.44,2.41,3.72,26.49,True
2010-07-08 15:10:00,993.27,27.71,301.45,10.93,35.15,37.22,13.08,24.14,8.23,13.17,1144.32,2.27,3.52,94.3,True
2010-07-08 15:20:00,993.23,28.0,301.75,11.03,34.79,37.86,13.17,24.69,8.29,13.26,1143.13,1.61,3.48,119.8,True
2010-07-08 15:30:00,993.18,28.52,302.27,11.08,33.87,39.02,13.21,25.8,8.32,13.31,1141.09,1.59,3.56,26.81,True
2010-07-08 15:40:00,993.15,28.41,302.16,11.06,34.04,38.77,13.2,25.57,8.31,13.29,1141.48,1.23,2.36,312.7,True
2010-07-08 15:50:00,993.07,28.78,302.54,11.42,34.13,39.61,13.52,26.09,8.51,13.61,1139.84,0.94,2.12,5.57,True
2010-07-08 16:00:00,993.01,29.16,302.93,11.75,34.12,40.49,13.81,26.67,8.7,13.91,1138.22,1.82,3.4,64.13,True
2010-07-08 16:10:00,992.92,28.53,302.3,11.49,34.78,39.04,13.58,25.46,8.55,13.67,1140.59,2.98,5.16,38.41,True
2010-07-08 16:20:00,992.92,28.19,301.96,11.32,35.08,38.28,13.43,24.85,8.45,13.52,1141.95,2.5,4.16,38.69,True
2010-07-08 16:30:00,992.91,28.59,302.36,11.46,34.58,39.18,13.55,25.63,8.53,13.64,1140.37,1.18,2.64,45.25,True
2010-07-08 16:40:00,992.81,29.49,303.28,11.81,33.61,41.26,13.87,27.4,8.74,13.97,1136.72,1.41,3.16,22.15,True
2010-07-08 16:50:00,992.88,28.95,302.73,11.85,34.77,40.0,13.91,26.09,8.76,14.01,1138.82,1.86,3.96,25.09,True
2010-07-08 17:00:00,992.9,28.91,302.69,11.9,34.96,39.91,13.95,25.96,8.79,14.05,1138.97,2.38,5.04,30.64,True
2010-07-08 17:10:00,992.85,28.69,302.47,11.88,35.37,39.4,13.94,25.47,8.78,14.04,1139.75,2.17,3.88,29.86,True
2010-07-08 17:20:00,992.79,28.73,302.52,12.06,35.7,39.49,14.1,25.39,8.88,14.2,1139.46,3.48,5.2,39.98,True
2010-07-08 17:30:00,992.79,28.43,302.21,11.99,36.15,38.81,14.03,24.78,8.84,14.13,1140.62,3.0,4.48,39.53,True
2010-07-08 17:40:00,992.7,28.55,302.34,12.0,35.94,39.08,14.05,25.04,8.85,14.15,1140.06,2.25,4.24,43.18,True
2010-07-08 17:50:00,992.69,28.18,301.97,12.22,37.26,38.25,14.25,24.0,8.98,14.36,1141.36,4.33,5.24,40.69,True
2010-07-08 18:00:00,992.67,27.7,301.49,12.5,39.01,37.2,14.51,22.69,9.14,14.62,1143.04,3.7,5.64,35.83,True
2010-07-08 18:10:00,992.66,27.74,301.53,12.58,39.12,37.29,14.59,22.7,9.19,14.69,1142.85,3.82,5.22,36.27,True
2010-07-08 18:20:00,992.64,27.52,301.32,12.7,39.95,36.81,14.71,22.11,9.27,14.82,1143.61,3.28,5.96,49.84,True
2010-07-08 18:30:00,992.66,27.26,301.05,12.59,40.27,36.26,14.6,21.66,9.2,14.71,1144.67,3.38,4.92,57.26,True
2010-07-08 18:40:00,992.67,27.1,300.89,12.43,40.23,35.92,14.45,21.47,9.1,14.56,1145.35,3.0,4.12,52.38,True
2010-07-08 18:50:00,992.72,26.97,300.76,12.56,40.89,35.64,14.58,21.07,9.18,14.68,1145.85,2.76,4.04,47.97,True
2010-07-08 19:00:00,992.79,26.75,300.53,12.66,41.68,35.19,14.67,20.52,9.24,14.77,1146.73,2.75,4.24,46.49,True
2010-07-09 09:20:00,993.82,26.35,300.04,14.5,48.1,34.37,16.53,17.84,10.41,16.63,1148.64,1.14,2.32,97.1,True
2010-07-09 09:30:00,993.84,26.56,300.25,14.33,47.0,34.8,16.35,18.44,10.3,16.46,1147.94,1.23,2.88,119.3,True
2010-07-09 09:40:00,993.77,26.84,300.54,14.15,45.7,35.37,16.17,19.21,10.18,16.27,1146.87,2.06,3.16,125.2,True
2010-07-09 09:50:00,993.77,27.39,301.09,14.3,44.69,36.53,16.33,20.21,10.28,16.43,1144.7,1.62,2.72,128.0,True
2010-07-09 10:00:00,993.69,27.96,301.67,14.32,43.27,37.77,16.34,21.43,10.29,16.45,1142.43,2.33,3.76,135.4,True
2010-07-09 10:10:00,993.65,28.33,302.04,14.08,41.69,38.59,16.09,22.5,10.13,16.19,1141.1,2.58,4.96,110.3,True
2010-07-09 10:20:00,993.64,28.58,302.29,13.25,38.94,39.15,15.25,23.91,9.6,15.34,1140.51,2.56,4.04,137.8,True
2010-07-09 10:30:00,993.61,29.11,302.83,12.95,37.04,40.37,14.95,25.42,9.41,15.05,1138.6,3.05,5.4,151.9,True
2010-07-09 10:40:00,993.55,29.5,303.22,12.79,35.84,41.29,14.8,26.49,9.32,14.89,1137.13,2.66,4.24,172.5,True
2010-07-09 10:50:00,993.51,29.95,303.67,12.59,34.46,42.37,14.6,27.77,9.19,14.7,1135.49,2.69,5.0,179.8,True
2010-07-09 11:00:00,993.35,29.84,303.58,12.32,34.06,42.1,14.34,27.76,9.03,14.44,1135.82,3.84,6.84,164.3,True
2010-07-09 11:10:00,993.25,29.7,303.45,12.17,34.0,41.77,14.2,27.57,8.94,14.3,1136.3,2.62,6.6,181.2,True
2010-07-09 11:20:00,993.14,29.88,303.64,12.48,34.36,42.2,14.5,27.7,9.13,14.6,1135.37,4.13,6.76,175.6,True
2010-07-09 11:30:00,993.03,29.85,303.62,12.41,34.25,42.13,14.43,27.7,9.09,14.53,1135.38,3.54,5.88,186.1,True
2010-07-09 11:40:00,992.94,29.94,303.71,12.36,33.96,42.34,14.38,27.96,9.06,14.48,1134.96,3.58,6.62,201.9,True
2010-07-09 11:50:00,992.91,30.04,303.82,12.63,34.37,42.59,14.64,27.95,9.22,14.74,1134.44,2.22,4.0,159.2,True
2010-07-09 12:00:00,992.9,30.26,304.04,12.74,34.19,43.13,14.75,28.38,9.29,14.85,1133.56,2.7,5.88,174.6,True
2010-07-09 12:10:00,992.81,30.66,304.45,12.67,33.26,44.12,14.68,29.45,9.25,14.78,1132.0,3.25,6.0,171.7,True
2010-07-09 12:20:00,992.82,30.62,304.41,12.5,32.96,44.02,14.51,29.51,9.14,14.62,1132.23,3.61,6.48,171.2,True
2010-07-09 12:30:00,992.72,30.54,304.34,12.56,33.26,43.82,14.58,29.25,9.18,14.68,1132.38,3.17,6.64,148.3,True
2010-07-09 12:40:00,992.69,30.95,304.75,12.83,33.07,44.86,14.84,30.02,9.35,14.94,1130.71,2.35,5.04,166.6,True
2010-07-09 12:50:00,992.51,30.87,304.68,12.69,32.9,44.66,14.69,29.96,9.26,14.8,1130.86,3.98,6.08,131.6,True
2010-07-09 13:00:00,992.42,30.53,304.35,12.6,33.35,43.8,14.61,29.19,9.21,14.72,1132.06,3.51,5.68,140.0,True
2010-07-09 13:10:00,992.41,30.73,304.55,12.32,32.37,44.3,14.34,29.96,9.04,14.45,1131.42,3.52,5.44,138.1,True
2010-07-09 13:20:00,992.26,30.98,304.82,12.47,32.24,44.94,14.49,30.45,9.13,14.6,1130.26,3.39,5.64,151.0,True
2010-07-09 13:30:00,992.21,31.27,305.11,12.44,31.65,45.68,14.46,31.22,9.11,14.57,1129.13,4.26,7.28,190.1,True
2010-07-09 13:40:00,992.16,31.3,305.15,12.28,31.26,45.76,14.3,31.46,9.02,14.42,1129.03,3.41,4.96,187.7,True
2010-07-09 13:50:00,992.12,31.45,305.3,12.67,31.81,46.15,14.68,31.47,9.26,14.8,1128.27,3.21,5.44,176.9,True
2010-07-09 14:00:00,992.05,31.7,305.56,12.62,31.25,46.81,14.63,32.18,9.22,14.75,1127.29,2.54,4.32,189.1,True
2010-07-09 14:10:00,992.04,31.75,305.61,12.52,30.95,46.94,14.53,32.41,9.16,14.65,1127.13,3.21,5.58,141.2,True
2010-07-09 14:20:00,992.0,31.58,305.44,12.29,30.78,46.49,14.31,32.18,9.02,14.43,1127.81,3.8,5.68,160.3,True
2010-07-09 14:30:00,992.02,31.89,305.75,12.28,30.23,47.32,14.3,33.01,9.02,14.42,1126.69,2.6,5.26,198.9,True
2010-07-09 14:40:00,991.93,32.07,305.94,12.47,30.31,47.8,14.49,33.31,9.14,14.61,1125.84,3.43,5.68,182.1,True
2010-07-09 14:50:00,991.89,31.9,305.77,12.28,30.21,47.34,14.3,33.04,9.02,14.42,1126.51,4.1,6.18,150.2,True
2010-07-09 15:00:00,991.83,31.93,305.81,12.33,30.26,47.42,14.35,33.07,9.05,14.47,1126.31,2.98,5.32,174.7,True
2010-07-09 15:10:00,991.87,32.11,305.98,12.09,29.48,47.91,14.12,33.78,8.9,14.24,1125.78,3.29,5.56,150.1,True
2010-07-09 15:20:00,991.83,32.27,306.15,12.26,29.56,48.34,14.29,34.05,9.01,14.41,1125.08,3.52,5.52,165.9,True
2010-07-09 15:30:00,991.81,32.57,306.45,12.2,28.95,49.16,14.23,34.93,8.97,14.35,1123.98,3.42,6.56,169.7,True
2010-07-09 15:40:00,991.78,32.36,306.24,12.09,29.07,48.59,14.12,34.46,8.91,14.24,1124.76,3.19,5.42,145.1,True
2010-07-09 15:50:00,991.63,32.47,306.37,12.14,28.99,48.89,14.17,34.72,8.94,14.29,1124.16,3.55,6.72,149.8,True
2010-07-09 16:00:00,991.49,32.55,306.46,12.12,28.83,49.11,14.16,34.95,8.93,14.28,1123.72,3.42,5.56,170.6,True
2010-07-09 16:10:00,991.43,32.84,306.75,12.12,28.36,49.92,14.16,35.76,8.93,14.28,1122.58,3.15,6.24,170.4,True
2010-07-09 16:20:00,991.41,32.87,306.79,12.28,28.62,50.0,14.31,35.69,9.03,14.43,1122.38,3.7,5.44,175.0,True
2010-07-09 16:30:00,991.37,32.99,306.91,12.29,28.43,50.34,14.31,36.03,9.03,14.44,1121.9,3.36,5.16,176.4,True
2010-07-09 16:40:00,991.33,33.01,306.93,12.17,28.18,50.39,14.2,36.19,8.96,14.33,1121.83,3.66,4.92,153.5,True
2010-07-09 16:50:00,991.31,32.85,306.77,12.32,28.72,49.94,14.34,35.6,9.05,14.47,1122.33,3.26,5.52,162.0,True
2010-07-09 17:00:00,991.22,33.04,306.97,12.27,28.33,50.48,14.3,36.18,9.02,14.43,1121.55,3.72,6.2,169.1,True
2010-07-09 17:10:00,991.16,33.11,307.05,12.38,28.42,50.68,14.4,36.27,9.09,14.53,1121.18,3.27,4.84,162.6,True
2010-07-09 17:20:00,991.09,33.23,307.18,12.24,27.97,51.02,14.27,36.75,9.0,14.4,1120.72,3.97,5.68,165.3,True
2010-07-09 17:30:00,991.07,33.33,307.28,12.38,28.07,51.3,14.4,36.9,9.09,14.53,1120.27,2.87,4.4,176.2,True
2010-07-09 17:40:00,991.07,33.43,307.38,12.43,28.0,51.59,14.45,37.15,9.12,14.58,1119.89,2.98,4.64,173.6,True
2010-07-09 17:50:00,991.01,33.27,307.22,12.45,28.3,51.13,14.47,36.66,9.13,14.6,1120.4,3.44,5.06,160.8,True
2010-07-09 18:00:00,991.0,32.89,306.84,12.39,28.78,50.06,14.41,35.65,9.09,14.54,1121.8,3.48,5.48,156.7,True
2010-07-09 18:10:00,991.07,32.9,306.85,12.72,29.41,50.08,14.73,35.35,9.3,14.86,1121.71,3.26,4.56,193.6,True
2010-07-09 18:20:00,991.09,33.12,307.07,13.03,29.63,50.7,15.02,35.68,9.48,15.16,1120.8,2.26,3.52,179.7,True
2010-07-09 18:30:00,991.09,32.83,306.77,12.74,29.55,49.89,14.74,35.15,9.3,14.87,1121.98,3.5,5.68,196.8,True
2010-07-09 18:40:00,991.07,32.53,306.48,12.53,29.64,49.05,14.54,34.51,9.18,14.67,1123.15,2.5,3.92,211.0,True
2010-07-09 18:50:00,991.07,31.92,305.86,12.15,29.92,47.4,14.18,33.22,8.95,14.31,1125.55,2.75,3.48,223.3,True
2010-07-09 19:00:00,991.07,31.22,305.16,11.4,29.63,45.55,13.5,32.06,8.51,13.62,1128.43,3.01,3.88,231.6,True
2010-07-09 19:10:00,991.18,30.61,304.54,11.48,30.84,44.0,13.57,30.43,8.56,13.69,1130.79,2.72,3.16,238.3,True
2010-07-09 19:20:00,991.19,30.17,304.1,11.35,31.35,42.91,13.45,29.46,8.48,13.57,1132.5,3.05,3.52,243.3,True
2010-07-09 19:30:00,991.19,29.94,303.87,11.53,32.15,42.34,13.61,28.73,8.59,13.73,1133.28,2.76,3.2,243.9,True
2010-07-09 19:40:00,991.23,29.61,303.53,11.6,32.92,41.55,13.68,27.87,8.63,13.8,1134.54,2.7,3.16,245.3,True
2010-07-09 19:50:00,991.33,29.17,303.08,11.71,34.0,40.51,13.77,26.74,8.69,13.89,1136.26,1.89,2.56,249.9,True
2010-07-09 20:00:00,991.41,28.72,302.63,12.56,36.92,39.47,14.57,24.9,9.19,14.7,1137.7,0.68,1.28,68.29,True
2010-07-09 20:10:00,991.53,28.3,302.19,14.09,41.79,38.52,16.1,22.42,10.16,16.24,1138.76,1.0,1.52,18.43,True
2010-07-09 20:20:00,991.65,27.91,301.79,14.13,42.88,37.66,16.15,21.51,10.19,16.28,1140.35,1.16,1.88,9.57,True
2010-07-09 20:30:00,991.78,27.5,301.37,14.2,44.11,36.77,16.22,20.55,10.23,16.35,1142.02,0.88,1.6,23.46,True
2010-07-09 20:40:00,991.85,26.92,300.78,14.17,45.55,35.54,16.19,19.35,10.22,16.32,1144.33,0.59,1.28,52.69,True
2010-07-09 20:50:00,991.93,26.39,300.25,14.32,47.44,34.45,16.34,18.11,10.31,16.48,1146.38,0.3,0.76,47.64,True
2010-07-10 08:30:00,993.06,26.81,300.57,16.5,53.23,35.31,18.8,16.52,11.86,18.93,1145.0,1.6,2.48,181.1,True
2010-07-10 08:40:00,993.04,27.38,301.14,16.34,50.97,36.51,18.61,17.9,11.74,18.74,1142.9,1.45,3.08,168.5,True
2010-07-10 08:50:00,993.04,27.75,301.51,16.18,49.36,37.31,18.42,18.89,11.62,18.54,1141.57,1.93,2.8,171.5,True
2010-07-10 09:00:00,993.04,28.34,302.1,16.19,47.73,38.61,18.43,20.18,11.62,18.56,1139.33,1.46,2.6,178.1,True
2010-07-10 09:10:00,993.01,28.82,302.59,16.11,46.19,39.7,18.34,21.36,11.57,18.47,1137.52,2.05,3.32,141.4,True
2010-07-10 09:20:00,992.91,28.28,302.05,15.81,46.77,38.48,18.0,20.48,11.35,18.12,1139.6,2.35,3.44,127.5,True
2010-07-10 09:30:00,992.9,28.63,302.41,16.06,46.54,39.27,18.27,20.99,11.53,18.41,1138.14,1.73,3.36,127.0,True
2010-07-10 09:40:00,992.8,29.32,303.11,16.12,44.92,40.86,18.36,22.51,11.58,18.49,1135.4,2.17,3.6,139.6,True
2010-07-10 09:50:00,992.79,29.69,303.48,16.3,44.48,41.74,18.57,23.17,11.72,18.7,1133.91,2.17,3.64,158.1,True
2010-07-10 10:00:00,992.78,30.18,303.97,16.32,43.28,42.93,18.58,24.35,11.72,18.72,1132.06,1.83,3.36,135.9,True
2010-07-10 10:10:00,992.69,30.3,304.1,16.16,42.57,43.23,18.4,24.83,11.61,18.54,1131.58,1.93,3.9,118.6,True
2010-07-10 10:20:00,992.66,30.33,304.13,16.18,42.55,43.3,18.42,24.88,11.63,18.56,1131.43,2.14,3.44,94.0,True
2010-07-10 10:30:00,992.59,30.57,304.38,16.13,41.82,43.9,18.36,25.54,11.59,18.5,1130.48,2.08,3.72,81.8,True
2010-07-10 10:40:00,992.52,30.96,304.77,16.23,41.17,44.89,18.48,26.41,11.66,18.62,1128.9,1.69,3.16,75.4,True
2010-07-10 10:50:00,992.42,31.15,304.97,16.02,40.18,45.37,18.23,27.14,11.51,18.37,1128.19,2.36,3.44,50.5,True
2010-07-10 11:00:00,992.4,31.27,305.1,16.15,40.24,45.68,18.38,27.3,11.6,18.52,1127.65,2.19,3.16,56.26,True
2010-07-10 11:10:00,992.3,31.8,305.63,15.97,38.61,47.08,18.18,28.9,11.47,18.32,1125.67,2.01,4.16,115.2,True
2010-07-10 11:20:00,992.26,32.08,305.92,15.63,37.19,47.83,17.79,30.04,11.23,17.93,1124.76,2.5,4.0,125.7,True
2010-07-10 11:30:00,992.18,32.35,306.2,15.84,37.13,48.56,18.03,30.53,11.38,18.17,1123.57,3.61,6.04,154.4,True
2010-07-10 11:40:00,992.17,32.27,306.12,15.63,36.78,48.34,17.78,30.56,11.22,17.92,1123.96,3.05,4.2,138.4,True
2010-07-10 11:50:00,992.11,32.98,306.83,15.48,35.0,50.31,17.61,32.7,11.11,17.75,1121.36,2.58,5.04,196.5,True
2010-07-10 12:00:00,992.12,33.19,307.04,15.08,33.73,50.9,17.17,33.73,10.84,17.31,1120.79,3.54,5.28,204.7,True
2010-07-10 12:10:00,992.14,33.13,306.98,15.45,34.65,50.73,17.58,33.15,11.1,17.72,1120.86,1.98,4.52,217.9,True
2010-07-10 12:20:00,992.06,32.81,306.67,16.46,37.62,49.83,18.75,31.08,11.84,18.9,1121.43,2.7,3.9,52.55,True
2010-07-10 12:30:00,992.05,32.18,306.04,16.11,38.14,48.1,18.34,29.75,11.58,18.49,1123.91,1.45,2.72,45.53,True
2010-07-10 12:40:00,991.95,32.84,306.71,16.44,37.53,49.92,18.73,31.18,11.83,18.89,1121.21,2.37,4.36,22.15,True
2010-07-10 12:50:00,991.93,32.92,306.79,15.91,36.11,50.14,18.11,32.03,11.43,18.25,1121.16,1.01,2.72,2.19,True
2010-07-10 13:00:00,991.85,32.81,306.69,16.05,36.66,49.83,18.27,31.56,11.54,18.42,1121.4,1.32,2.68,57.7,True
2010-07-10 13:10:00,991.81,32.82,306.7,16.22,37.04,49.86,18.47,31.39,11.66,18.62,1121.23,1.37,3.32,35.41,True
2010-07-10 13:20:00,991.8,32.63,306.51,16.89,39.07,49.33,19.27,30.06,12.18,19.43,1121.57,3.23,5.44,55.2,True
2010-07-10 13:30:00,991.8,32.11,305.99,16.92,40.3,47.91,19.31,28.6,12.2,19.47,1123.47,2.76,4.08,67.56,True
2010-07-10 13:40:00,991.81,31.69,305.57,16.65,40.56,46.78,18.98,27.81,11.99,19.13,1125.17,2.4,4.24,33.83,True
2010-07-10 13:50:00,991.84,31.59,305.47,16.6,40.67,46.52,18.92,27.6,11.95,19.08,1125.6,1.69,3.64,6.0,True
2010-07-10 14:00:00,991.78,32.32,306.2,16.7,39.29,48.48,19.05,29.43,12.03,19.2,1122.78,2.12,3.56,21.8,True
2010-07-10 14:10:00,991.68,32.81,306.7,16.57,37.89,49.83,18.88,30.95,11.93,19.04,1120.94,2.53,4.36,27.48,True
2010-07-10 14:20:00,991.66,32.84,306.73,16.67,38.08,49.92,19.01,30.91,12.01,19.17,1120.76,3.5,4.76,38.35,True
2010-07-10 14:30:00,991.56,32.46,306.36,16.58,38.67,48.86,18.89,29.97,11.94,19.06,1122.09,2.4,3.56,32.37,True
2010-07-10 14:40:00,991.45,32.63,306.54,16.5,38.1,49.33,18.79,30.54,11.88,18.96,1121.38,2.37,4.44,48.43,True
2010-07-10 14:50:00,991.43,33.06,306.97,16.48,37.16,50.53,18.78,31.76,11.87,18.94,1119.79,2.36,3.56,51.18,True
2010-07-10 15:00:00,991.35,33.15,307.07,16.46,36.92,50.79,18.75,32.04,11.85,18.92,1119.38,3.12,5.2,44.56,True
